Muscle,Force Level,ISI mean,ISI SD,ISI CV,FR mean,subject_id,extra,MU_ID
VL,5,135.44237901264592,7.954791173902842,0.0587319215144627,7.383213491152812,P2,ramp1,0
VL,5,146.19509913340335,12.287998978934356,0.084052058186448,6.840174574439718,P2,ramp1,1
VL,5,163.94738828502415,16.32802767359111,0.0995930941284936,6.099517720047423,P2,ramp1,2
VL,5,130.6241953417603,6.720872026306488,0.051451968823404,7.655549551012637,P2,ramp1,3
VL,5,125.27721774193547,6.466067871100084,0.0516140762674011,7.982297324481994,P2,ramp1,4
VL,5,157.4289132882883,12.8111806923802,0.0813775590823015,6.352073320666145,P2,ramp1,5
VL,5,154.00304203539824,16.470934692735977,0.1069520087073998,6.4933782267115605,P2,ramp1,6
VL,5,131.6634728773585,9.128199382521368,0.069329778282729,7.595120940881432,P2,ramp1,7
VL,5,145.15730355290455,11.096059947249335,0.0764416235053941,6.889078093377066,P2,ramp1,8
VL,5,153.688467920354,12.033518630030777,0.078298123423723,6.5066690658809225,P2,ramp1,9
VL,5,148.04438164893617,14.549035968833287,0.098274826824121,6.754731174948212,P2,ramp1,10
VL,15,133.83584393712576,9.221746793529586,0.0689034157236818,7.471839909118714,P3,ramp1,0
VL,15,130.82796509502924,10.227582714959617,0.0781758143798279,7.643625728441408,P3,ramp1,1
VL,15,106.82986318779903,6.410282831637307,0.060004596471012,9.36067846723789,P3,ramp1,2
VL,15,82.85646333025831,5.1427727218770976,0.0620684556783274,12.069064497890665,P3,ramp1,3
VL,15,70.150146484375,6.026401819160317,0.085907187955803,14.255137731219657,P3,ramp1,4
VL,15,125.7126711727528,15.831563147528,0.1259345060433284,7.954647615639417,P3,ramp1,5
VL,15,98.6075106534091,6.117787900039042,0.0620418045187467,10.141215343269876,P3,ramp1,6
VL,15,86.65066297310757,10.912333260271202,0.1259347924857527,11.540592601240164,P3,ramp1,7
